Movie Name,Address,Rating,Year,Date,Closed Captioning,Zip,Park Name
Black Panther,"223, East 31st Street, Douglas, Chicago, South Chicago Township, Cook County, Illinois, 60616, United States",PG-13,2019,2019-07-11,Y,0,Dunbar Park
Spider-Man: Into the Spider-Verse,"South Cottage Grove Avenue, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",PG,2019,2019-06-21,Y,0,Mandrake Park
Smallfoot,"Luis Muñoz Marín Drive, East Humboldt Park, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",PG,2019,2019-08-10,Y,0,Humboldt Park
Black Panther,"West 123rd Street, Stewart Ridge, West Pullman, Chicago, Lake Township, Cook County, Illinois, 60827, United States",PG-13,2019,2019-08-15,Y,0,West Pullman Park
Black Panther,"South Yates Avenue, Merrionette Manor, South Deering, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",PG-13,2019,2019-07-20,Y,0,Bradley Park
Spider-Man: Into the Spider-Verse,"North Clarendon Avenue, Clarendon Park, Uptown, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",PG,2019,2019-07-26,Y,0,Clarendon Park Community Center
Creed II,"Moore Park Fieldhouse, 5085, West Adams Street, Mandell, Austin, Chicago, West Chicago Township, Cook County, Illinois, 60644, United States",PG-13,2019,2019-07-12,Y,0,Moore Park
Trolls,"Julia de Burgos Park, 1805, Humboldt Park, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",NR,2019,2019-08-05,Y,0,Julia de Burgos Park
Leap!,"Congregation Rodfei Zedek, 5200, South Hyde Park Boulevard, East Hyde Park, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",PG,2019,2019-07-02,Y,0,Harold Washington Playlot Park
The Incredibles 2,"Luis Muñoz Marín Drive, East Humboldt Park, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",PG,2019,2019-07-30,Y,0,Humboldt Park
Spider-Man: Homecoming,"West Wrightwood Avenue, Wrightwood Neighbors, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",PG-13,2019,2019-07-14,Y,0,Jonquil Playlot Park
My Favorite Wife,"Chicago History Museum, 1601, North Clark Street, Lincoln Park, Chicago, North Chicago Township, Cook County, Illinois, 60614, United States",NR,2019,2019-07-31,Y,0,Chicago History Museum
Smallfoot,"2750, South Sacramento Avenue, South Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",PG,2019,2019-07-24,Y,0,La Villita Park
The 39 Steps,"Belmont Harbor, 3600, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",NR,2019,2019-06-10,Y,0,Belmont Harbor
Mary Poppins Returns,"Montgomery Ward Park, Chicago, IL",PG,2019,2019-07-09,Y,0,Ward (A. Montgomery) Park
The Wizard of Oz,"North Larrabee Street, Mid-North District, Lincoln Park, Chicago, North Chicago Township, Cook County, Illinois, 60614, United States",G,2019,2019-08-24,Y,0,Oz Park
Adventures in Babysitting,"Mary Bartelme Park, 115, Greektown, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",PG-13,2019,2019-06-13,Y,0,Bartelme (Mary) Park
Grease,"4100 S Lake Shore Dr, Chicago, IL",PG,2019,2019-07-01,Y,0,Oakwood Beach
Aquaman,"7600-7612, North Bosworth Avenue, Jarvis Square, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",PG-13,2019,2019-07-24,Y,0,White (Willye B.) Park
Napoleon Dynamite,"McCutcheon Elementary School, 4865, North Sheridan Road, Margate Park, Uptown, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",PG,2019,2019-07-13,Y,0,Buttercup Playlot Park
The Incredibles 2,"6035, West Matson Avenue, Norwood Park, Chicago, Jefferson Township, Cook County, Illinois, 60646, United States",PG,2019,2019-08-23,Y,0,Indian Road Park
Little Shop of Horrors (1986),"Chicago, IL",PG-13,2019,2019-07-19,Y,0,Douglas Park Cultural and Community Center
The Sandlot,"Independence Park Fieldhouse, 3945, North Springfield Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",PG,2019,2019-06-21,Y,0,Independence Park
Wayne's World,"Mary Bartelme Park, 115, Greektown, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",PG-13,2019,2019-06-25,Y,0,Bartelme (Mary) Park
Trolls,"3403-3409, North Long Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",NR,2019,2019-08-09,Y,0,Chopin Park
The Incredibles 2,"Bosley Park Fieldhouse, 3044, South Bonfield Street, Bridgeport, Chicago, South Chicago Township, Cook County, Illinois, 60608, United States",PG,2019,2019-08-20,Y,0,Bosley Playground Park
